number,challenge
1,Participated in 2 meetups
2,Wrote a Medium article 
3,Met a new friend
4,Joined both Discord and WhatsApp
5,Used remarkscopilot.string.sg
6,Used CherGPT
7,Shared on SgLDC Facebook Group
8,Shared on Linkedin
9,Cloned a repo from String Github
10,Merged a pull request for String products
11,Started a new repo in String 
12,Submitted a product with String
13,Subscribed to beehiiv with String 
14,Follow String Medium
15,Escalated an issue
16,Has a String sticker 
17,Follow String Instagram
18,Follow String Tiktok
19,Built a robot with chopsticks
20,Created a github issue
21,Signed up for an event via Luma
22,Created guides on String products
23,Helped to plan a meetup
24,Launched a product/ workflow improvement in your school
25,Brought a friend to a meetup
