id,text
1,"Try ChatGPT for lesson planning"
2,"Use AI to generate quiz questions"
3,"Create content with Claude or Bard"
4,"Explore AI image generation tools"
5,"Use AI for student feedback"
6,"Try voice-to-text AI tools"
7,"Use AI for curriculum development"
8,"Explore AI coding assistants"
9,"Try AI translation tools"
10,"Use AI for data analysis"
11,"Create AI-powered presentations"
12,"FREE SPACE"
13,"Try AI writing assistants"
14,"Use AI for research tasks"
15,"Explore AI video editing tools"
16,"Try AI tutoring platforms"
17,"Use AI for assessment creation"
18,"Explore AI accessibility tools"
19,"Try AI collaboration tools"
20,"Use AI for content curation"
21,"Explore AI learning analytics"
22,"Try AI-powered simulations"
23,"Use AI for personalized learning"
24,"Explore AI ethics in education"
25,"Share AI success story"
